"","Phylum","Sub Phylum","Class","Order","Family","Species","CommonName","C-value","Chromnum","Method","Celltype","Stdsp","References","References"
"26","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser sturio","Sturgeon","3.95","","NS","NS","GD","Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",""
"27","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser transmontanus","White sturgeon","4.73","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"28","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Acipenser transmontanus","White sturgeon","5.10","","BFA","RBC","SP","Hinegardner, R. (1976a). The cellular DNA content of sharks, rays and some other fishes. Comparative Biochemistry and Physiology 55B: 367-370.",""
"29","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Huso dauricus","Kaluga","1.89","60.00","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"30","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Huso huso","Beluga","1.22","","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"31","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Huso huso","Beluga","1.80","118.00","FD","RBC","TT","Fontana, F. (1976). Nuclear DNA content and cytometry of erythrocytes of Huso huso L., Acipenser sturio L. and Acipenser naccarii Bonaparte. Caryologia 29: 127-137.",""
"32","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Pseudoscaphirhynchus kaufmanni","Amu Darya sturgeon","1.74","","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"33","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Scaphirhynchus platorynchus","Shovelnose sturgeon","1.75","112.00","FD","RBC","HS","Ohno, S., J. Muramoto, C. Stenius, L. Christian, W.A. Kittrell, and N.B. Atkin (1969a). Microchromosomes in Holocephalian, Chondrostean and Holostean fishes. Chromosoma 26: 35-40.",""
"34","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Acipenseridae","Scaphirhynchus platorynchus","Shovelnose sturgeon","2.37","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"35","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Polyodontidae","Polyodon spathula","Mississippi paddlefish","1.59","","FCM","RBC","AR","Birstein, V.J., A.I. Pletaev, and B.F. Goncharov (1993). DNA content in Eurasian sturgeon species determined by flow cytometry. Cytometry 14: 377-383.",""
"36","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Polyodontidae","Polyodon spathula","Mississippi paddlefish","1.95","120.00","FCM","RBC","GD, HS","Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",""
"37","Chordata","Vertebrata","Osteichthyes","Acipenseriformes","Polyodontidae","Polyodon spathula","Mississippi paddlefish","2.45","","FCM","RBC","HS","Blacklidge, K.H. and C.A. Bidwell (1993). Three ploidy levels indicated by genome quantification in Acipenseriformes of North America. Journal of Heredity 84: 427-430.",""
"38","Chordata","Vertebrata","Osteichthyes","Amiiformes","Amiidae","Amia calva","Bowfin","1.14","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",""
"39","Chordata","Vertebrata","Osteichthyes","Amiiformes","Amiidae","Amia calva","Bowfin","1.15","46.00","FD","RBC","GD","Mirsky, A.E. and H. Ris (1951). The desoxyribonucleic acid content of animal cells and its evolutionary significance. Journal of General Physiology 34: 451-462.",""
"40","Chordata","Vertebrata","Osteichthyes","Amiiformes","Amiidae","Amia calva","Bowfin","1.28","","FD","RBC","HS","Ohno, S., J. Muramoto, C. Stenius, L. Christian, W.A. Kittrell, and N.B. Atkin (1969a). Microchromosomes in Holocephalian, Chondrostean and Holostean fishes. Chromosoma 26: 35-40.",""
"41","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla anguilla","European eel","1.11","","BCA","RBC","HS","Vendrely, R. and C. Vendrely (1950). Sur la teneur absolue en acide désoxyribonucléique du noyau cellulaire chez quelques espèces d'oiseaux et de poissons. Comptes Rendus de l'Académie des Sciences 230: 788-790.",""
"42","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla anguilla","European eel","1.22","","FCM","RBC","HS","Peruzzi, S., B. Chatain, and B. Menu (2005). Flow cytometric determination of genome size in European seabass (Dicentrarchus labrax), gilthead seabream (Sparus aurata), thinlip mullet (Liza ramada), and European eel (Anguilla anguilla). Aquatic Living Res",""
"43","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla anguilla","European eel","1.40","","NS","NS","GD","Vialli, M. (1957a). Volume et contenu en ADN par noyau. Experimental Cell Research Suppl. 4: 284-293.",""
"44","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla anguilla","European eel","1.60","38.00","BFA","RBC","SP","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",""
"45","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla anguilla","European eel","1.67","","FCM, FD","RBC","GD","Ronchetti, E., S. Salvadori, and A.M. Deiana (1995). Genome size and AT content in Anguilliformes. European Journal of Histochemistry39: 259-264.",""
"46","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla japonica","Japanese eel","1.09","","FCM","RBC","GD","Zhu, D., W. Song, K. Yang, X. Cao, Y. Gul, and W. Wang (2012). Flow cytometric determination of genome size for eight commercially important fish species in China. In Vitro CellularÂ &Â Developmental BiologyÂ -Â Animal 48: 507-517.",""
"47","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla rostrata","American eel","1.01","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"48","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla rostrata","American eel","1.40","38.00","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"49","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Anguillidae","Anguilla rostrata","American eel","1.66","","FCM, FD","RBC","GD","Ronchetti, E., S. Salvadori, and A.M. Deiana (1995). Genome size and AT content in Anguilliformes. European Journal of Histochemistry39: 259-264.",""
"50","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Chlopsidae","Ophichthus cephalozona","Dark-shouldered snake eel","1.96","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"51","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Congridae","Ariosoma anago","Silvery conger","1.80","38.00","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"52","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Congridae","Conger conger","European conger","1.66","38.00","FCM, FD","RBC","GD","Ronchetti, E., S. Salvadori, and A.M. Deiana (1995). Genome size and AT content in Anguilliformes. European Journal of Histochemistry39: 259-264.",""
"53","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Congridae","Conger japonicus","Beach conger","1.21","38.00","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"54","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Congridae","Conger myriaster","Conger eel","1.22","38.00","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"55","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenesocidae","Muraenesox cinereus","Daggertooth pike conger","1.13","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"56","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Enchelycore pardalis","Leopard moray eel","2.30","42.00","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"57","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Gymnothorax moringa","Spotted moray eel","2.40","0-0","BFA","RBC","SP","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",""
"58","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Gymnothorax nigromarginatus","Blackedge moray eel","2.50","","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"59","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Gymnothorax unicolor","Brown moray eel","2.20","42.00","FCM, FD","RBC","GD","Ronchetti, E., S. Salvadori, and A.M. Deiana (1995). Genome size and AT content in Anguilliformes. European Journal of Histochemistry39: 259-264.",""
"60","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Muraena helena","Mediterranean moray eel","2.54","42.00","FCM, FD","RBC","GD","Ronchetti, E., S. Salvadori, and A.M. Deiana (1995). Genome size and AT content in Anguilliformes. European Journal of Histochemistry39: 259-264.",""
"61","Chordata","Vertebrata","Osteichthyes","Anguilliformes","Muraenidae","Sideria picta","Peppered moray eel","1.91","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"62","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Atherinopsidae","Atherinomorus lacunosus","Hardyhead silverside","1.05","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",""
"63","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Atherinopsidae","Atherinops affinis","Topsmelt silverside","1.10","","BFA","RBC","SP","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",""
"64","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Atherinopsidae","Labidesthes sicculus","Brook silverside","0.67","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",""
"65","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Melanotaeniidae","Melanotaenia fluviatilis","Rainbowfish","1.30","48.00","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"66","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Melanotaeniidae","Melanotaenia nigrans","Blackbanded rainbowfish","1.30","48.00","BFA","RBC","SP","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",""
"67","Chordata","Vertebrata","Osteichthyes","Atheriniformes","Synaphobranchidae","Diastobranchus capensis","Basketwork eel","1.62","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"68","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Saurida gracilis","Gracile lizardfish","1.56","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix.",""
"69","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Saurida gracilis","Gracile lizardfish","1.57","","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"70","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Synodus foetens","Inshore lizardfish","1.20","","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"71","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Synodus lucioceps","California lizardfish","1.20","48.00","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"72","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Synodus lucioceps","California lizardfish","1.25","","FD","RBC","HS","Ebeling, A.W., N.B. Atkin, and P.Y. Setzer (1971). Genome sizes of teleostean fishes: increases in some deep-sea species. American Naturalist 105: 549-561.",""
"73","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Synodus sageneus","Speartoothed grinner","1.34","","FIA","RBC","BS, GD, OM, RP","Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Hardie, D.C. and P.D.N. Hebert (2004).  Genome-size evolution in fishes.  Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.  Click here to download data appendix."
"74","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Synodus variegatus","Variegated lizardfish","1.64","","FCM","RBC","MM","Ojima, Y. and K. Yamamoto (1990). Cellular DNA contents of fishes determined by flow cytometry. La Kromosomo II 57: 1871-1888.",""
"75","Chordata","Vertebrata","Osteichthyes","Aulopiformes","Synodontidae","Trachinocephalus myops","Snakefish","0.80","","FD","LV, RBC","V","Bachmann, K. and R.R. Cowden (1967). Specific DNA amounts and nuclear size in fish hepatocytes and erythrocytes. Transactions of the American Microscopical Society 86: 463-471.",""
"76","Chordata","Vertebrata","Osteichthyes","Batrachoidiformes","Batrachoididae","Opsanus beta","Gulf toadfish","3.00","","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"77","Chordata","Vertebrata","Osteichthyes","Batrachoidiformes","Batrachoididae","Opsanus tau","Oyster toadfish","2.80","","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"78","Chordata","Vertebrata","Osteichthyes","Batrachoidiformes","Batrachoididae","Porichthys notatus","Plainfin midshipman","2.20","48.00","BFA","RBC","SP","Hinegardner, R. (1968). Evolution of cellular DNA content in teleost fishes. American Naturalist 102: 517-523.","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644."
"79","Chordata","Vertebrata","Osteichthyes","Batrachoidiformes","Batrachoididae","Porichthys porosissimus","Toadfish","1.70","","BFA","RBC","SP","Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",""
"80","Chordata","Vertebrata","Osteichthyes","Beloniformes","Adrianichthyidae","Oryzias celebensis","Celebes medaka","0.85","36.00","FD","RBC","CP","Uwa, H. and A. Iwata (1981). Karyotype and cellular DNA content of Oryzias javanicus (Oryziatidae, Pisces). Chromosome Information Service 31: 24-26.","Uwa, H. (1986). Karyotype evolution and geographical distribution in the ricefish, genus Oryzias (Oryziidae). In: Indo-Pacific Fish Biology, edited by T. Uyeno, R. Arai, T. Taniuchi and K. Matsuura. Ichthyological Society of Japan, Tokyo, pp.867-876."
"81","Chordata","Vertebrata","Osteichthyes","Beloniformes","Adrianichthyidae","Oryzias curvinotus","Medaka","0.75","48.00","FD","RBC","CP","Uwa, H. (1991). Cytosystematic study of the Hainan medaka Oryzias curvinotus, from Hong Kong (Teleostei: Oryziidae). Ichthyological Exploration of Freshwaters 1: 361-367.",""
"82","Chordata","Vertebrata","Osteichthyes","Beloniformes","Adrianichthyidae","Oryzias javanicus","Javanese rice fish","0.87","48.00","FD","RBC","CP","Uwa, H. and A. Iwata (1981). Karyotype and cellular DNA content of Oryzias javanicus (Oryziatidae, Pisces). Chromosome Information Service 31: 24-26.","Uwa, H. (1986). Karyotype evolution and geographical distribution in the ricefish, genus Oryzias (Oryziidae). In: Indo-Pacific Fish Biology, edited by T. Uyeno, R. Arai, T. Taniuchi and K. Matsuura. Ichthyological Society of Japan, Tokyo, pp.867-876."
"83","Chordata","Vertebrata","Osteichthyes","Beloniformes","Adrianichthyidae","Oryzias latipes","Japanese rice fish","0.87","","FD","RBC","CP","Uwa, H. and A. Iwata (1981). Karyotype and cellular DNA content of Oryzias javanicus (Oryziatidae, Pisces). Chromosome Information Service 31: 24-26.","Uwa, H. (1986). Karyotype evolution and geographical distribution in the ricefish, genus Oryzias (Oryziidae). In: Indo-Pacific Fish Biology, edited by T. Uyeno, R. Arai, T. Taniuchi and K. Matsuura. Ichthyological Society of Japan, Tokyo, pp.867-876."
